locationRaw,longitude,latitude,prize,image1,image2,image3
長野市鬼無里11276-2,138.0080195,36.7195363,1360000,http://nagano-akiyabank.jp/img/bukken/9001/396996-Ky4OGK6GYB.jpg,http://nagano-akiyabank.jp/img/bukken/9001/396996-SFX8kk5o8k.jpg,http://nagano-akiyabank.jp/img/bukken/9001/396996-ILKKjUmTjG.jpg
長野市松代町東条671,138.2189277,36.566923,8000000,http://nagano-akiyabank.jp/img/bukken/9001/392898-OVAb6fiZCN.jpg,http://nagano-akiyabank.jp/img/bukken/9001/392898-uZSzh9YXm7.jpg,http://nagano-akiyabank.jp/img/bukken/9001/392898-8CBb59yADJ.jpg
長野市箱清水３丁目19-36,138.1863431,36.6653649,18800000,http://nagano-akiyabank.jp/img/bukken/9001/389406-g4KxFhxtY4.jpg,http://nagano-akiyabank.jp/img/bukken/9001/389406-k8LaN55Tqk.jpg,http://nagano-akiyabank.jp/img/bukken/9001/389406-8gyNDXqi3V.jpg
長野市大字鑪725-16,138.1578113,36.6721039,4500000,http://nagano-akiyabank.jp/img/bukken/9001/381330-aFfZQF1Nmb.jpg,http://nagano-akiyabank.jp/img/bukken/9001/381330-2Z7dGBBldU.jpg,http://nagano-akiyabank.jp/img/bukken/9001/381330-wfMPlAZXXj.jpg
長野市真島町川合963,138.2185391,36.6131567,14500000,http://nagano-akiyabank.jp/img/bukken/9001/378475-UFolP5gDZr.jpg,http://nagano-akiyabank.jp/img/bukken/9001/378475-2kUngfIV24.jpg,http://nagano-akiyabank.jp/img/bukken/9001/378475-7HrUU2sfQH.jpg
長野市戸隠祖山262-1,138.0810044,36.6615038,1500000,http://nagano-akiyabank.jp/img/bukken/9001/377681-58Svcdvx3m.jpg,http://nagano-akiyabank.jp/img/bukken/9001/377681-c8B7iSZqz2.jpg,http://nagano-akiyabank.jp/img/bukken/9001/377681-s2GEc6TQpT.jpg
長野市松代町清野890,138.1816731,36.5540984,9000000,http://nagano-akiyabank.jp/img/bukken/9001/368537-XvaAPaNaH4.jpg,http://nagano-akiyabank.jp/img/bukken/9001/368537-9HKqd1WOsj.jpg,http://nagano-akiyabank.jp/img/bukken/9001/368537-2pbyaBENUM.jpg
長野市新諏訪１丁目6-28,138.175227,36.6580607,9600000,http://nagano-akiyabank.jp/img/bukken/9001/375925-9Cc3sT8Ugx.jpg,http://nagano-akiyabank.jp/img/bukken/9001/375925-OtvBkfDrjn.jpg,http://nagano-akiyabank.jp/img/bukken/9001/375925-qOqvnKnSVr.jpg
長野市豊野町川谷字谷1005,138.2693904,36.7355779,3500000,http://nagano-akiyabank.jp/img/bukken/9001/341616-rMhQvV6sXd.jpg,http://nagano-akiyabank.jp/img/bukken/9001/341616-XdUwMdyV9d.jpg,http://nagano-akiyabank.jp/img/bukken/9001/341616-VdYvkvxfRr.jpg
長野市信更町高野369-2,138.0406835,36.5462113,3800000,http://nagano-akiyabank.jp/img/bukken/9001/341116-1TXx1Bvasc.jpg,http://nagano-akiyabank.jp/img/bukken/9001/341116-4EwPUOoyWv.jpg,http://nagano-akiyabank.jp/img/bukken/9001/341116-FhCZfvyZH6.jpg
長野市中条御山里7209-2,138.0218061,36.6404897,1900000,http://nagano-akiyabank.jp/img/bukken/9001/395263-oNZZsA7bAZ.jpg,http://nagano-akiyabank.jp/img/bukken/9001/395263-p5PS9DMXGQ.jpg,http://nagano-akiyabank.jp/img/bukken/9001/395263-AjjRQxSl7u.jpg
長野市戸隠豊岡2734-9,138.1020323,36.7086522,5000000,http://nagano-akiyabank.jp/img/bukken/9001/380418-DSR5ADhhfb.jpg,http://nagano-akiyabank.jp/img/bukken/9001/380418-MBc4kx7ios.jpg,http://nagano-akiyabank.jp/img/bukken/9001/380418-TuA7AvIyKD.jpg
